"","OTU","Sample","Abundance","Replicates","Treatment","Genotype","Day","Kingdom","Phylum","Class","Order","Family","Genus"
"85","57b50e6e3ddfafe90166e29ca03d3259","MBSF6",0.320514532425335,3,"Wastewater_Daphnia","LRV_0_1","D2","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA
"86","57b50e6e3ddfafe90166e29ca03d3259","MBSF25",0.314280411988494,1,"Wastewater_Daphnia","LRV_12_3","D3","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA
"87","57b50e6e3ddfafe90166e29ca03d3259","MBSF32",0.28650731752076,2,"Wastewater_Daphnia","LR2_36_1","D2","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA
"88","57b50e6e3ddfafe90166e29ca03d3259","MBSF24",0.268861454046639,3,"Wastewater_Daphnia","LRV_12_3","D2","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA
"89","57b50e6e3ddfafe90166e29ca03d3259","MBSF26",0.263684520306062,2,"Wastewater_Daphnia","LRV_12_3","D3","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA
"90","57b50e6e3ddfafe90166e29ca03d3259","MBSF2",0.254706927175844,2,"Wastewater_Daphnia","LRV_0_1","D1","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA
"91","57b50e6e3ddfafe90166e29ca03d3259","MBSF23",0.24591841274078,2,"Wastewater_Daphnia","LRV_12_3","D2","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA
"92","57b50e6e3ddfafe90166e29ca03d3259","MBSF20",0.233843008267402,2,"Wastewater_Daphnia","LRV_12_3","D1","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA
"93","57b50e6e3ddfafe90166e29ca03d3259","MBSF3",0.230441605021296,3,"Wastewater_Daphnia","LRV_0_1","D1","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA
"94","57b50e6e3ddfafe90166e29ca03d3259","MBSF19",0.226798462383306,1,"Wastewater_Daphnia","LRV_12_3","D1","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA
"95","57b50e6e3ddfafe90166e29ca03d3259","MBSF30",0.224192585105894,3,"Wastewater_Daphnia","LR2_36_1","D1","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA
"96","57b50e6e3ddfafe90166e29ca03d3259","R1D2BW",0.177088454833952,1,"Wastewater_Control","CONTROL","D2","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA
"97","57b50e6e3ddfafe90166e29ca03d3259","MBSF12",0.174485228290063,3,"Wastewater_Daphnia","LRV_8.5_3","D1","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA
"98","57b50e6e3ddfafe90166e29ca03d3259","R3D2BW8532",0.174046214134498,3,"Wastewater_Control","CONTROL","D2","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA
"99","57b50e6e3ddfafe90166e29ca03d3259","R1D3BW",0.162077875790787,1,"Wastewater_Control","CONTROL","D3","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA
"100","57b50e6e3ddfafe90166e29ca03d3259","MBSF15",0.154172055478749,3,"Wastewater_Daphnia","LRV_8.5_3","D2","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA
"101","57b50e6e3ddfafe90166e29ca03d3259","MBSF17",0.15054542162676,2,"Wastewater_Daphnia","LRV_8.5_3","D3","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA
"102","57b50e6e3ddfafe90166e29ca03d3259","R3D3BW",0.137396418070035,3,"Wastewater_Control","CONTROL","D3","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA
"103","57b50e6e3ddfafe90166e29ca03d3259","MBSF11",0.132964976383567,2,"Wastewater_Daphnia","LRV_8.5_3","D1","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA
"104","57b50e6e3ddfafe90166e29ca03d3259","MBSF14",0.128896002845583,2,"Wastewater_Daphnia","LRV_8.5_3","D2","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA
"105","57b50e6e3ddfafe90166e29ca03d3259","R2D3BW",0.127572383073497,2,"Wastewater_Control","CONTROL","D3","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA
"106","57b50e6e3ddfafe90166e29ca03d3259","R2D2BW",0.1230557283797,2,"Wastewater_Control","CONTROL","D2","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA
"107","57b50e6e3ddfafe90166e29ca03d3259","R2D1BW",0.114181462199083,2,"Wastewater_Control","CONTROL","D1","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA
"108","57b50e6e3ddfafe90166e29ca03d3259","R3D1BW",0.112837867925368,3,"Wastewater_Control","CONTROL","D1","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA
"109","5d81b46613a582d1a94fa803c90e44fe","MBSF15",0.243098604111849,3,"Wastewater_Daphnia","LRV_8.5_3","D2","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA
"110","5d81b46613a582d1a94fa803c90e44fe","MBSF14",0.100217864923747,2,"Wastewater_Daphnia","LRV_8.5_3","D2","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA
"111","5d81b46613a582d1a94fa803c90e44fe","MBSF19",0.0801299652205748,1,"Wastewater_Daphnia","LRV_12_3","D1","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA
"112","5d81b46613a582d1a94fa803c90e44fe","MBSF11",0.0724088762142411,2,"Wastewater_Daphnia","LRV_8.5_3","D1","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA
"113","5d81b46613a582d1a94fa803c90e44fe","MBSF17",0.066536912144118,2,"Wastewater_Daphnia","LRV_8.5_3","D3","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA
"114","5d81b46613a582d1a94fa803c90e44fe","R3D3BW",0.05386260358193,3,"Wastewater_Control","CONTROL","D3","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA
"115","5d81b46613a582d1a94fa803c90e44fe","R2D3BW",0.0396436525612472,2,"Wastewater_Control","CONTROL","D3","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA
"116","5d81b46613a582d1a94fa803c90e44fe","MBSF12",0.0396150402864816,3,"Wastewater_Daphnia","LRV_8.5_3","D1","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA
"117","5d81b46613a582d1a94fa803c90e44fe","R2D2BW",0.0395964803128611,2,"Wastewater_Control","CONTROL","D2","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA
"118","5d81b46613a582d1a94fa803c90e44fe","R2D1BW",0.0358652605348641,2,"Wastewater_Control","CONTROL","D1","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA
"119","5d81b46613a582d1a94fa803c90e44fe","MBSF9",0.03482269179864,3,"Wastewater_Daphnia","LRV_0_1","D3","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA
"120","5d81b46613a582d1a94fa803c90e44fe","MBSF23",0.0347880243783086,2,"Wastewater_Daphnia","LRV_12_3","D2","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA
"121","5d81b46613a582d1a94fa803c90e44fe","MBSF6",0.0310232785863711,3,"Wastewater_Daphnia","LRV_0_1","D2","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA
