"","OTU","Sample","Abundance","Genotype","Day","Treatment","SampleVolume","Kingdom","Phylum","Class","Order","Family","Genus"
"96","e63635d7ee1b269910178a8853e38d2b","MBSF1",0.0119024466140262,"LRV_0_1","D1","Wastewater_Daphnia",100,"d__Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium"
"97","e63635d7ee1b269910178a8853e38d2b","MBSF7",0.00992356175405659,"LRV_0_1","D3","Wastewater_Daphnia",100,"d__Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium"
"98","e63635d7ee1b269910178a8853e38d2b","MBSF9",0.00958116616479606,"LRV_0_1","D3","Wastewater_Daphnia",100,"d__Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium"
"99","e63635d7ee1b269910178a8853e38d2b","MBSF5",0.00946226632817909,"LRV_0_1","D2","Wastewater_Daphnia",100,"d__Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium"
"100","e63635d7ee1b269910178a8853e38d2b","MBSF8",0.00934249065750934,"LRV_0_1","D3","Wastewater_Daphnia",100,"d__Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium"
"101","e63635d7ee1b269910178a8853e38d2b","R1D2BW",0.00917844278193405,"CONTROL","D2","Wastewater_Control",100,"d__Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium"
"102","e63635d7ee1b269910178a8853e38d2b","MBSF6",0.00886045772409409,"LRV_0_1","D2","Wastewater_Daphnia",100,"d__Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium"
"103","e63635d7ee1b269910178a8853e38d2b","R1D1BW",0.00884719521031156,"CONTROL","D1","Wastewater_Control",100,"d__Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium"
"104","e63635d7ee1b269910178a8853e38d2b","MBSF4",0.00381441693912502,"LRV_0_1","D2","Wastewater_Daphnia",100,"d__Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium"
"105","e63635d7ee1b269910178a8853e38d2b","R3D2BW8532",0.00187675946199562,"CONTROL","D2","Wastewater_Control",100,"d__Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium"
"106","d0191770f0c1f13a39299d4a4b2cef14","R1D2BW",0.173870878359656,"CONTROL","D2","Wastewater_Control",100,"d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Polynucleobacter"
"107","d0191770f0c1f13a39299d4a4b2cef14","R1D3BW",0.102649122194688,"CONTROL","D3","Wastewater_Control",100,"d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Polynucleobacter"
